EntrezGene ID,HGNC symbol
574513,MIR508
377,ARF3
26818,SNORD33
677820,SNORA38
693135,MIR551A
10454,TAB1
692108,SNORD67
100422978,MIR3185
102465501,MIR6834
406998,MIR216A
84650,EBPL
574467,MIR520A
677768,SCARNA13
102466738,MIR6798
574411,MIR451A
100616273,MIR451A
574411,MIR451B
100616273,MIR451B
102465463,MIR6772
574503,MIR501
767606,SNORD114-26
100500822,MIR3937
100033805,SNORD115-31
619569,SNORA41
100616383,MIR4675
100302277,MIR548I2
442916,MIR371A
692092,SNORD32B
692063,SNORA32
102465524,MIR6869
100616378,MIR4784
677835,SNORA56
1378,CR1
100616375,MIR4438
199713,NLRP7
406895,MIR103A1
7692,ZNF133
9760,TOX
406910,MIR125A
100423026,MIR4299
26827,RNU6-5P
101954271,RNU6-5P
103625684,RNU6-5P
1774,DNASE1L1
100302121,MIR1276
100422839,MIR3119-1
100423010,MIR3119-1
100422839,MIR3119-2
100423010,MIR3119-2
26812,SNORD37
102466742,MIR6818
100033425,SNORD116-13
100616421,MIR4689
406932,MIR140
100847083,MIR548AV
102464831,MIR6080
60437,CDH26
102465432,MIR6723
102466192,MIR6750
677795,SNORA5B
100616393,MIR4657
100616286,MIR4676
100616319,MIR4493
100423005,MIR4282
102465135,MIR6128
102465522,MIR6865
677845,SNORA79
654321,SNORA75
57215,THAP11
50839,TAS2R10
100616246,MIR4799
693130,MIR548D1
100500863,MIR548D1
693130,MIR548AA1
100500863,MIR548AA1
100616298,MIR4419B
574515,MIR510
286370,
102464834,MIR6085
693186,MIR601
90527,DUOXA1
201895,SMIM14
693128,MIR548B
100422914,MIR4253
693126,MIR548A2
100500859,MIR3921
102465534,MIR6886
407033,MIR30D
102723854,
693219,MIR634
5781,PTPN11
100616380,MIR4671
6086,RNY4
100616487,MIR4517
102465494,MIR6823
677772,SCARNA6
100500808,MIR3917
100422879,MIR3124
100422836,MIR3180-3
100422870,MIR3180-3
100422956,MIR3180-3
100422836,MIR3180-2
100422870,MIR3180-2
100422956,MIR3180-2
100422836,MIR3180-1
100422870,MIR3180-1
100422956,MIR3180-1
100616434,MIR4755
100422886,MIR3179-3
100422960,MIR3179-3
100423006,MIR3179-3
103504729,MIR3179-3
100422886,MIR3179-2
100422960,MIR3179-2
100423006,MIR3179-2
103504729,MIR3179-2
100422886,MIR3179-1
100422960,MIR3179-1
100423006,MIR3179-1
103504729,MIR3179-1
100422886,MIR3179-4
100422960,MIR3179-4
100423006,MIR3179-4
103504729,MIR3179-4
102465870,MIR8070
100500919,MIR548Y
100873857,SNORD115-46
100616233,MIR4459
100616440,MIR548AG2
100616454,MIR4497
100616491,MIR3978
693212,MIR627
84318,CCDC77
26574,
56662,VTRNA1-3
102464817,MIR5787
100616132,MIR4728
85389,SNORD14C
100422992,MIR3151
677823,SNORA80E
724032,MIR662
100033813,SNORD115-39
6690,SPINK1
100847073,MIR5090
79026,AHNAK
26785,SNORD63
102466743,MIR6822
102465669,MIR7113
100500915,MIR3915
442900,MIR326
102465517,MIR6858
6066,RNU2-1
79042,TSEN34
100616430,MIR4644
677837,SNORA60
100500834,MIR3924
693175,MIR590
100302136,MIR1252
54578,UGT1A6
100616422,MIR4537
767579,SNORD114-3
100847053,MIR5702
4661,MYT1
51302,CYP39A1
100422856,MIR3123
677774,SCARNA1
100616307,MIR4757
5296,PIK3R2
574456,MIR497
100500852,MIR3180-4
2619,GAS1
100126351,MIR939
83716,CRISPLD2
102465872,MIR8073
767595,SNORD114-17
100873779,RNU6-79P
51315,KRCC1
4026,LPP
100422939,MIR3147
100873776,RNU6-75P
102465862,MIR8056
767565,SNORD113-5
100616223,MIR4509-2
100616228,MIR4509-2
100616382,MIR4509-2
100616223,MIR4509-3
100616228,MIR4509-3
100616382,MIR4509-3
100616223,MIR4509-1
100616228,MIR4509-1
100616382,MIR4509-1
102465909,MIR6859-2
102465910,MIR6859-2
102466751,MIR6859-2
103504738,MIR6859-2
102465909,MIR6859-1
102465910,MIR6859-1
102466751,MIR6859-1
103504738,MIR6859-1
102465909,MIR6859-3
102465910,MIR6859-3
102466751,MIR6859-3
103504738,MIR6859-3
102465909,MIR6859-4
102465910,MIR6859-4
102466751,MIR6859-4
103504738,MIR6859-4
442912,MIR367
100616315,MIR4781
100847059,MIR5094
57125,PLXDC1
100302286,MIR1267
677820,SNORA38
102464829,MIR6078
100847039,MIR5092
100302254,MIR1282
100422948,MIR4284
677849,SNORD1B
100500814,MIR3616
574409,MIR329-2
100302224,MIR2110
100313896,MIR320D1
100616353,MIR4532
100422851,MIR4316
100616328,MIR4424
100616165,MIR4771-2
100616370,MIR4771-2
100616165,MIR4771-1
100616370,MIR4771-1
122704,MRPL52
574492,MIR517C
100500891,MIR3935
100422844,MIR3118-3
100422935,MIR3118-3
100422949,MIR3118-3
100422844,MIR3118-4
100422935,MIR3118-4
100422949,MIR3118-4
100422844,MIR3118-2
100422935,MIR3118-2
100422949,MIR3118-2
65263,PYCRL
102465441,MIR6737
29844,TFPT
1289,COL5A1
102465507,MIR6842
407002,MIR219A1
4969,OGN
574479,MIR517A
100033450,SNORD115-13
100616450,MIR548AG1
100616373,MIR4770
100616170,MIR4739
100616350,MIR4660
9454,HOMER3
100033434,SNORD116-23
